model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
gemma,F17_N,F17,nonroutine,3.0,447.0,0.839745148705477,0.1313462754090627,2.3825225132786856,0.9979388579799132
gemma,F17_R,F17,routine,3.0,592.0,0.9743616287094549,0.04437608520189921,-2.0155674792944023,0.20359265454845735
gemma,F18_A,F18,ambiguous,3.0,1361.3333333333333,0.7635401450109688,0.295682152112325,,0.00014157607756471092
gemma,F18_N,F18,nonroutine,4.0,1558.3333333333333,0.7010143755615456,0.27578000724315643,1.2487845546979133,0.02149934458275488
gemma,F18_R,F18,routine,1.0,126.66666666666667,0.9703557312252964,0.030334867537021637,-5.46483239214101,0.0008500937481379717
gemma,F19_A,F19,ambiguous,3.0,672.0,0.7921297929898848,0.23459518949190775,,0.03274103124246828
gemma,F19_N,F19,nonroutine,3.0,1117.3333333333333,0.8065909712768797,0.2284284234046936,8.870072178967124,0.9842874739186674
gemma,F19_R,F19,routine,1.0,177.0,1.0,0.039204031229019165,-8.580697326164236,4.6786590200458915e-07
gemma,F20_A,F20,ambiguous,3.0,982.6666666666666,0.7560717823523939,0.27603476246198017,,0.002743549408552098
gemma,F20_N,F20,nonroutine,4.0,1304.0,0.6645919553143433,0.2503492385149002,10.27860304443946,0.9933114836177049
gemma,F20_R,F20,routine,3.0,832.6666666666666,0.8983428030303031,0.14304823676745096,-11.924603168324097,1.2113180538441421e-08
llama,F01_A,F01,ambiguous,4.0,2127.6666666666665,0.7829745794333859,0.2492486983537674,,0.4086589238821566
llama,F01_N,F01,nonroutine,4.0,2544.3333333333335,0.779747922388797,0.2935514847437541,2.4983199594915613,0.7123471680937447
llama,F01_R,F01,routine,4.0,1682.6666666666667,0.8071489050812359,0.2476040224234263,-1.1779394625721344,0.106213327250078
llama,F02_A,F02,ambiguous,4.0,2416.3333333333335,0.7526913606615047,0.27159325281778973,,0.7558760079104857
llama,F02_N,F02,nonroutine,4.0,2316.6666666666665,0.8161922126574209,0.24206738670667013,1.5422537358656434,0.41783562724352236
llama,F02_R,F02,routine,4.0,1907.6666666666667,0.8953252415655933,0.20359580715497336,-2.023750325773929,0.03387674745935643
llama,F03_A,F03,ambiguous,4.0,174.0,0.7578643578643578,0.38941696286201477,,0.1663958240650619
llama,F03_N,F03,nonroutine,4.0,157.33333333333334,0.6015712682379349,0.6170695821444193,1.0818313523994942,0.593906747812641
llama,F03_R,F03,routine,4.0,138.0,0.7086456771614192,0.2888171374797821,-1.8328037751631217,0.058430778733412174
llama,F04_A,F04,ambiguous,4.0,146.33333333333334,0.7403530377668308,0.5450048645337423,,0.2941582674585635
